Date,Price,Open,High,Low,Change
9/28/2006,7.8955,7.8973,7.907,7.893,-0.12%
9/29/2006,7.9073,7.9062,7.9093,7.903,0.15%
10/2/2006,7.9073,7.9055,7.9073,7.9055,0.00%
10/3/2006,7.9073,7.9055,7.9073,7.9055,0.00%
10/4/2006,7.9073,7.9055,7.9073,7.9055,0.00%
10/5/2006,7.9073,7.9055,7.9073,7.9055,0.00%
10/6/2006,7.9073,7.9055,7.9073,7.9055,0.00%
10/9/2006,7.9015,7.9078,7.9102,7.899,-0.07%
10/10/2006,7.9052,7.898,7.9127,7.898,0.05%
10/11/2006,7.9162,7.9139,7.9185,7.9117,0.14%
10/12/2006,7.9143,7.9149,7.9176,7.912,-0.02%
10/13/2006,7.9015,7.91,7.9115,7.8998,-0.16%
10/16/2006,7.9098,7.9132,7.9147,7.907,0.11%
10/17/2006,7.9075,7.9094,7.912,7.906,-0.03%
10/18/2006,7.9077,7.9069,7.9077,7.903,0.00%
10/19/2006,7.9082,7.9065,7.9093,7.905,0.01%
10/20/2006,7.9046,7.8979,7.9046,7.897,-0.05%
10/23/2006,7.899,7.8995,7.9007,7.897,-0.07%
10/24/2006,7.9025,7.9033,7.9063,7.9,0.04%
10/25/2006,7.8994,7.9,7.9013,7.897,-0.04%
10/26/2006,7.8945,7.894,7.8965,7.8915,-0.06%
10/27/2006,7.8896,7.8873,7.892,7.8846,-0.06%
10/30/2006,7.8774,7.877,7.8775,7.875,-0.15%
10/31/2006,7.879,7.8776,7.8813,7.876,0.02%
11/1/2006,7.8724,7.872,7.877,7.8695,-0.08%
11/2/2006,7.8735,7.8734,7.8767,7.872,0.01%
11/3/2006,7.8712,7.8713,7.8767,7.869,-0.03%
11/6/2006,7.8775,7.8788,7.8813,7.875,0.08%
11/7/2006,7.8745,7.8813,7.8818,7.874,-0.04%
11/8/2006,7.8683,7.8703,7.8728,7.865,-0.08%
11/9/2006,7.8665,7.8681,7.8701,7.864,-0.02%
11/10/2006,7.8645,7.8651,7.8673,7.862,-0.03%
11/13/2006,7.8635,7.8655,7.8683,7.861,-0.01%
11/14/2006,7.8665,7.861,7.8715,7.861,0.04%
11/15/2006,7.8685,7.8699,7.8724,7.864,0.03%
11/16/2006,7.8715,7.8717,7.8719,7.8663,0.04%
11/17/2006,7.872,7.8729,7.8735,7.8664,0.01%
11/20/2006,7.874,7.8674,7.874,7.8665,0.03%
11/21/2006,7.8695,7.8679,7.8747,7.8651,-0.06%
11/22/2006,7.8641,7.8643,7.8644,7.861,-0.07%
11/23/2006,7.863,7.8584,7.863,7.856,-0.01%
11/24/2006,7.8551,7.8555,7.8557,7.851,-0.10%
11/27/2006,7.8425,7.8386,7.8432,7.8377,-0.16%
11/28/2006,7.845,7.8475,7.8505,7.8425,0.03%
11/29/2006,7.8365,7.8382,7.8435,7.8322,-0.11%
11/30/2006,7.8333,7.84,7.8435,7.8299,-0.04%
12/1/2006,7.8305,7.8322,7.8347,7.827,-0.04%
12/4/2006,7.8275,7.8248,7.8314,7.8215,-0.04%
12/5/2006,7.8235,7.8267,7.8304,7.823,-0.05%
12/6/2006,7.8234,7.8214,7.8238,7.82,0.00%
12/7/2006,7.8324,7.8265,7.8324,7.825,0.12%
12/8/2006,7.8245,7.8254,7.8304,7.824,-0.10%
12/11/2006,7.8293,7.8256,7.835,7.8256,0.06%
12/12/2006,7.8305,7.8308,7.8317,7.828,0.02%
12/13/2006,7.825,7.8242,7.8309,7.822,-0.07%
12/14/2006,7.8199,7.8185,7.83,7.8172,-0.07%
12/15/2006,7.8279,7.8173,7.8279,7.816,0.10%
12/18/2006,7.8202,7.8243,7.8301,7.818,-0.10%
12/19/2006,7.8209,7.8258,7.83,7.8208,0.01%
12/20/2006,7.8152,7.8186,7.8196,7.813,-0.07%
12/21/2006,7.816,7.8178,7.822,7.8135,0.01%
12/22/2006,7.8165,7.8164,7.8213,7.8135,0.01%
12/25/2006,7.8215,7.8209,7.8215,7.8155,0.06%
12/26/2006,7.8207,7.817,7.8209,7.817,-0.01%
12/27/2006,7.816,7.8218,7.8243,7.8135,-0.06%
12/28/2006,7.8135,7.8137,7.8167,7.812,-0.03%
12/29/2006,7.8075,7.8075,7.8145,7.8062,-0.08%
1/1/2007,7.816,7.8135,7.816,7.8135,0.11%
1/2/2007,7.816,7.8135,7.816,7.8135,0.00%
1/3/2007,7.816,7.8135,7.816,7.8135,0.00%
1/4/2007,7.8055,7.8061,7.8107,7.803,-0.13%
1/5/2007,7.809,7.8085,7.8145,7.806,0.04%
1/8/2007,7.8127,7.8123,7.816,7.809,0.05%
1/9/2007,7.8066,7.816,7.8185,7.8041,-0.08%
1/10/2007,7.8065,7.8076,7.8091,7.8041,0.00%
1/11/2007,7.7948,7.7975,7.799,7.7925,-0.15%
1/12/2007,7.7973,7.7987,7.8051,7.796,0.03%
1/15/2007,7.7931,7.7955,7.7986,7.79,-0.05%
1/16/2007,7.7901,7.7883,7.7901,7.7865,-0.04%
1/17/2007,7.775,7.7782,7.7865,7.7735,-0.19%
1/18/2007,7.7705,7.7746,7.7761,7.769,-0.06%
1/19/2007,7.7765,7.7776,7.7791,7.7703,0.08%
1/22/2007,7.7739,7.7784,7.7789,7.7738,-0.03%
1/23/2007,7.7765,7.779,7.7808,7.774,0.03%
1/24/2007,7.7724,7.7743,7.7786,7.771,-0.05%
1/25/2007,7.7682,7.7723,7.7724,7.768,-0.05%
1/26/2007,7.777,7.77,7.7811,7.7693,0.11%
1/29/2007,7.774,7.7824,7.7839,7.7725,-0.04%
1/30/2007,7.776,7.7784,7.7789,7.7745,0.03%
1/31/2007,7.7748,7.7764,7.7769,7.773,-0.02%
2/1/2007,7.7588,7.759,7.7601,7.7545,-0.21%
2/2/2007,7.756,7.7601,7.7606,7.7535,-0.04%
2/5/2007,7.7585,7.7615,7.7653,7.756,0.03%
2/6/2007,7.757,7.7579,7.7588,7.7535,-0.02%
2/7/2007,7.748,7.7484,7.7494,7.747,-0.12%
2/8/2007,7.7488,7.7514,7.7524,7.745,0.01%
2/9/2007,7.7505,7.7563,7.7578,7.749,0.02%
2/12/2007,7.756,7.7455,7.7631,7.7455,0.07%
2/13/2007,7.76,7.758,7.7652,7.75,0.05%
2/14/2007,7.759,7.7527,7.759,7.7527,-0.01%
2/15/2007,7.7555,7.753,7.7555,7.7477,-0.05%
2/16/2007,7.7502,7.7393,7.7502,7.7383,-0.07%
2/19/2007,7.7502,7.7498,7.7502,7.7498,0.00%
2/20/2007,7.7502,7.7498,7.7502,7.7498,0.00%
2/21/2007,7.7502,7.7498,7.7502,7.7498,0.00%
2/22/2007,7.7502,7.7498,7.7502,7.7498,0.00%
2/23/2007,7.7502,7.7498,7.7502,7.7498,0.00%
2/26/2007,7.748,7.7486,7.7501,7.744,-0.03%
2/27/2007,7.741,7.7459,7.7505,7.7385,-0.09%
2/28/2007,7.738,7.7397,7.7435,7.7355,-0.04%
3/1/2007,7.7432,7.746,7.7462,7.7395,0.07%
3/2/2007,7.7447,7.7441,7.7447,7.7428,0.02%
3/5/2007,7.75,7.7391,7.75,7.7378,0.07%
3/6/2007,7.7416,7.7441,7.7466,7.7415,-0.11%
3/7/2007,7.74,7.7424,7.7434,7.7383,-0.02%
3/8/2007,7.74,7.7374,7.74,7.7335,0.00%
3/9/2007,7.744,7.7424,7.745,7.74,0.05%
3/12/2007,7.7473,7.7415,7.7478,7.7415,0.04%
3/13/2007,7.7469,7.7385,7.7516,7.7382,-0.01%
3/14/2007,7.7412,7.74,7.7425,7.7362,-0.07%
3/15/2007,7.744,7.7408,7.747,7.7385,0.04%
3/16/2007,7.7358,7.7378,7.7432,7.735,-0.11%
3/19/2007,7.7362,7.7335,7.7362,7.7325,0.01%
3/20/2007,7.7374,7.7383,7.7416,7.737,0.02%
3/21/2007,7.7353,7.734,7.7383,7.7325,-0.03%
3/22/2007,7.726,7.7295,7.7351,7.7245,-0.12%
3/23/2007,7.7325,7.7325,7.7349,7.73,0.08%
3/26/2007,7.7359,7.7255,7.7388,7.7255,0.04%
3/27/2007,7.7335,7.7355,7.7375,7.7318,-0.03%
3/28/2007,7.7291,7.7293,7.7305,7.728,-0.06%
3/29/2007,7.7271,7.7288,7.7298,7.7263,-0.03%
3/30/2007,7.7308,7.7327,7.7337,7.7298,0.05%
4/2/2007,7.7287,7.7291,7.7303,7.7275,-0.03%
4/3/2007,7.7315,7.7252,7.7315,7.7252,0.04%
4/4/2007,7.7346,7.7344,7.7346,7.7315,0.04%
4/5/2007,7.7267,7.7253,7.729,7.7243,-0.10%
4/6/2007,7.721,7.7236,7.7258,7.7195,-0.07%
4/9/2007,7.7335,7.7275,7.7335,7.722,0.16%
4/10/2007,7.734,7.731,7.734,7.7275,0.01%
4/11/2007,7.7265,7.7255,7.7292,7.7245,-0.10%
4/12/2007,7.726,7.7259,7.7291,7.7239,-0.01%
4/13/2007,7.7217,7.724,7.7249,7.721,-0.06%
4/16/2007,7.7279,7.7205,7.7279,7.7205,0.08%
4/17/2007,7.7332,7.7265,7.7332,7.7265,0.07%
4/18/2007,7.7226,7.727,7.7292,7.721,-0.14%
4/19/2007,7.7165,7.719,7.7195,7.716,-0.08%
4/20/2007,7.7179,7.7145,7.7228,7.7145,0.02%
4/23/2007,7.723,7.7155,7.7285,7.7155,0.07%
4/24/2007,7.7259,7.716,7.7282,7.716,0.04%
4/25/2007,7.719,7.724,7.7245,7.7176,-0.09%
4/26/2007,7.7264,7.715,7.7264,7.715,0.10%
4/27/2007,7.7216,7.727,7.7275,7.7127,-0.06%
4/30/2007,7.7055,7.7043,7.707,7.703,-0.21%
5/1/2007,7.7055,7.705,7.7055,7.705,0.00%
5/2/2007,7.7055,7.705,7.7055,7.705,0.00%
5/3/2007,7.7055,7.705,7.7055,7.705,0.00%
5/4/2007,7.7055,7.705,7.7055,7.705,0.00%
5/7/2007,7.7055,7.705,7.7055,7.705,0.00%
5/8/2007,7.696,7.7015,7.702,7.6926,-0.12%
5/9/2007,7.6935,7.6959,7.6974,7.6926,-0.03%
5/10/2007,7.6939,7.6953,7.697,7.6929,0.01%
5/11/2007,7.6766,7.6858,7.6867,7.6761,-0.22%
5/14/2007,7.681,7.6725,7.681,7.671,0.06%
5/15/2007,7.6835,7.678,7.6948,7.678,0.03%
5/16/2007,7.6817,7.6835,7.6837,7.6805,-0.02%
5/17/2007,7.6705,7.6789,7.6814,7.668,-0.15%
5/18/2007,7.6685,7.6799,7.6824,7.666,-0.03%
5/21/2007,7.664,7.6637,7.665,7.6615,-0.06%
5/22/2007,7.6545,7.6645,7.6691,7.65,-0.12%
5/23/2007,7.653,7.6515,7.6588,7.6475,-0.02%
5/24/2007,7.6519,7.651,7.6529,7.649,-0.01%
5/25/2007,7.6523,7.6518,7.654,7.6498,0.01%
5/28/2007,7.645,7.65,7.6529,7.643,-0.10%
5/29/2007,7.6502,7.6495,7.6536,7.646,0.07%
5/30/2007,7.646,7.6497,7.6502,7.6435,-0.05%
5/31/2007,7.6475,7.645,7.6526,7.6435,0.02%
6/1/2007,7.6463,7.6456,7.6486,7.6425,-0.02%
6/4/2007,7.649,7.6453,7.6535,7.6453,0.04%
6/5/2007,7.6426,7.6517,7.6527,7.6375,-0.08%
6/6/2007,7.635,7.6385,7.6391,7.633,-0.10%
6/7/2007,7.648,7.6425,7.652,7.6415,0.17%
6/8/2007,7.655,7.6575,7.6646,7.6535,0.09%
6/11/2007,7.665,7.677,7.6778,7.661,0.13%
6/12/2007,7.6435,7.6694,7.6699,7.6395,-0.28%
6/13/2007,7.632,7.6267,7.632,7.6235,-0.15%
6/14/2007,7.6254,7.6235,7.6346,7.6205,-0.09%
6/15/2007,7.625,7.6215,7.6267,7.6195,-0.01%
6/18/2007,7.63,7.6201,7.63,7.6188,0.07%
6/19/2007,7.6175,7.6208,7.6227,7.615,-0.16%
6/20/2007,7.6175,7.6155,7.6222,7.6135,0.00%
6/21/2007,7.619,7.614,7.6218,7.614,0.02%
6/22/2007,7.625,7.6219,7.625,7.6145,0.08%
6/25/2007,7.6195,7.6177,7.6205,7.6175,-0.07%
6/26/2007,7.616,7.6169,7.6197,7.6135,-0.05%
6/27/2007,7.618,7.616,7.618,7.613,0.03%
6/28/2007,7.615,7.616,7.6178,7.6125,-0.04%
6/29/2007,7.6135,7.6149,7.6195,7.611,-0.02%
7/2/2007,7.605,7.6085,7.609,7.6025,-0.11%
7/3/2007,7.594,7.5954,7.6038,7.5905,-0.14%
7/4/2007,7.595,7.5925,7.6007,7.5925,0.01%
7/5/2007,7.598,7.5945,7.606,7.594,0.04%
7/6/2007,7.601,7.6035,7.6138,7.5995,0.04%
7/9/2007,7.6015,7.6045,7.6078,7.599,0.01%
7/10/2007,7.581,7.5845,7.5865,7.5805,-0.27%
7/11/2007,7.563,7.5692,7.5705,7.5615,-0.24%
7/12/2007,7.566,7.563,7.5752,7.563,0.04%
7/13/2007,7.57,7.5715,7.5724,7.5635,0.05%
7/16/2007,7.5675,7.5685,7.57,7.5635,-0.03%
7/17/2007,7.562,7.567,7.5675,7.5605,-0.07%
7/18/2007,7.566,7.5635,7.5705,7.5605,0.05%
7/19/2007,7.563,7.5635,7.5645,7.561,-0.04%
7/20/2007,7.57,7.5632,7.5715,7.561,0.09%
7/23/2007,7.562,7.567,7.5675,7.5599,-0.11%
7/24/2007,7.5625,7.5613,7.5718,7.561,0.01%
7/25/2007,7.557,7.562,7.5635,7.553,-0.07%
7/26/2007,7.5654,7.5645,7.5682,7.563,0.11%
7/27/2007,7.56,7.5585,7.569,7.5585,-0.07%
7/30/2007,7.567,7.5681,7.5814,7.564,0.09%
7/31/2007,7.5725,7.5725,7.573,7.5625,0.07%
8/1/2007,7.57,7.5645,7.5745,7.5615,-0.03%
8/2/2007,7.572,7.5711,7.5765,7.569,0.03%
8/3/2007,7.565,7.5665,7.576,7.5625,-0.09%
8/6/2007,7.561,7.5586,7.5685,7.555,-0.05%
8/7/2007,7.5703,7.5645,7.5703,7.5625,0.12%
8/8/2007,7.577,7.568,7.577,7.5675,0.09%
8/9/2007,7.5651,7.5755,7.576,7.5605,-0.16%
8/10/2007,7.574,7.563,7.5795,7.563,0.12%
8/13/2007,7.583,7.574,7.583,7.5705,0.12%
8/14/2007,7.5761,7.58,7.5867,7.5735,-0.09%
8/15/2007,7.5847,7.5785,7.5877,7.5785,0.11%
8/16/2007,7.603,7.5855,7.603,7.5852,0.24%
8/17/2007,7.595,7.6011,7.608,7.594,-0.11%
8/20/2007,7.5875,7.5935,7.6035,7.586,-0.10%
8/21/2007,7.59,7.5864,7.595,7.5864,0.03%
8/22/2007,7.602,7.5903,7.6035,7.59,0.16%
8/23/2007,7.584,7.5996,7.6011,7.5825,-0.24%
8/24/2007,7.568,7.582,7.5849,7.564,-0.21%
8/27/2007,7.56,7.5662,7.5682,7.5575,-0.11%
8/28/2007,7.5555,7.56,7.5603,7.552,-0.06%
8/29/2007,7.549,7.5565,7.559,7.5465,-0.09%
8/30/2007,7.5445,7.5487,7.5567,7.5415,-0.06%
8/31/2007,7.545,7.542,7.555,7.54,0.01%
9/3/2007,7.5449,7.5485,7.5506,7.542,0.00%
9/4/2007,7.55,7.5445,7.5546,7.543,0.07%
9/5/2007,7.5512,7.55,7.5551,7.547,0.02%
9/6/2007,7.5388,7.5493,7.5508,7.5373,-0.16%
9/7/2007,7.538,7.5375,7.5435,7.5365,-0.01%
9/10/2007,7.521,7.5386,7.5401,7.5195,-0.23%
9/11/2007,7.523,7.521,7.5288,7.5205,0.03%
9/12/2007,7.5217,7.5225,7.5258,7.5195,-0.02%
9/13/2007,7.5105,7.5155,7.517,7.509,-0.15%
9/14/2007,7.516,7.5135,7.5222,7.51,0.07%
9/17/2007,7.523,7.511,7.5255,7.511,0.09%
